date,capital,period_return,long_return,benchmark_return,borrow_cost,turnover,n_names,avg_buyers,total_value
2020-05-18,1039368.6003519066,0.07988330632901908,0.1410028967715404,0.060881495204426095,0.0002380952380952381,0.36,50,3.82,577197585.1431999
2020-06-16,998279.1805141537,-0.03934092683639939,-0.006171182567536979,0.032931649030767174,0.0002380952380952381,0.19999999999999998,50,3.92,554729746.2213
2020-07-15,1000479.5026304745,0.0022842977441818323,0.05096112342712588,0.04843873044484881,0.0002380952380952381,0.08,50,3.94,549758023.7439001
2020-08-12,986475.5791393641,-0.013839426099413042,-0.02412185609220245,-0.010520525230884648,0.0002380952380952381,0.16,50,3.82,588813298.1959001
2020-09-10,1024467.2620009605,0.0390944355813757,0.07307483599275441,0.03374230517328347,0.0002380952380952381,0.56,50,3.26,320047118.1743
2020-10-08,1015621.3884590586,-0.00784088102273011,0.011188219347018677,0.01879100513165355,0.0002380952380952381,0.8000000000000003,41,2.5853658536585367,294126679.54870003
2020-11-05,1087607.9864989545,0.07155888911091102,0.1277872695980886,0.05599028524908234,0.0002380952380952381,0.6341463414634144,33,2.5454545454545454,285233937.2405
2020-12-04,1054941.5990181698,-0.029505714513458525,-0.02098630581196007,0.008281313463403217,0.0002380952380952381,0.5454545454545453,29,2.5517241379310347,145908318.3321
2021-01-05,1051278.058003012,-0.003060216156642415,0.025508300881264313,0.02833042179981149,0.0002380952380952381,0.4137931034482758,28,2.5357142857142856,512385598.92419994
2021-02-03,1090401.4770253706,0.03736329567537854,0.024114498908109544,-0.013486892005364237,0.0002380952380952381,0.14285714285714285,28,2.642857142857143,512065119.95449996
2021-03-04,1104244.2611377165,0.013235518249733298,0.0804290002916485,0.06695538680381996,0.0002380952380952381,0.5333333333333332,30,2.6333333333333333,511878232.01170003
2021-04-01,1097920.6615686216,-0.005328762642428173,0.036570854042059744,0.04166152144639268,0.0002380952380952381,0.4000000000000001,29,3.0689655172413794,471981504.4585
2021-04-30,1115915.9805774726,0.016600694925619722,0.023404807701074375,0.006566017537359414,0.0002380952380952381,0.20689655172413787,28,3.0,583897862.5146002
2021-05-28,1104626.3530290083,-0.009621726244710534,0.011634755219494669,0.021018386226109964,0.0002380952380952381,0.5,25,2.88,155648439.0373
2021-06-28,1099963.0480458804,-0.0036636646622033374,0.02357037287623931,0.02699594230034741,0.0002380952380952381,0.56,20,3.2,153096481.05440003
2021-07-27,1085910.9976922097,-0.01267628800665283,0.007971310375046644,0.020409503143604235,0.0002380952380952381,0.1,20,3.15,153012672.3431
2021-08-24,1072502.5988067563,-0.011832038020879503,-0.031030992873788424,-0.01943705009100416,0.0002380952380952381,0.5217391304347826,23,2.869565217391304,182008730.82590002
2021-09-22,1071057.8660463954,-0.0007388209736531171,0.03272890425325186,0.03322962998880974,0.0002380952380952381,0.6086956521739131,17,3.0588235294117645,96452575.29810001
2021-10-20,1066804.1331219797,-0.0037617904841494294,0.031245719930626005,0.034769415176680196,0.0002380952380952381,0.21052631578947373,19,3.0,109476082.0099
2021-11-17,1075365.8431420156,0.008556388001768197,0.0051845551887752615,-0.0036099280510881737,0.0002380952380952381,0.5263157894736842,19,3.4210526315789473,40365900.16
2021-12-16,1130991.4212140357,0.05245926563180467,0.05248870529663858,-0.00020865557326132933,0.0002380952380952381,0.6956521739130433,23,3.217391304347826,54710532.4336
2022-01-14,1118232.723453409,-0.011198585326660633,-0.0662627634053318,-0.055302273316766404,0.0002380952380952381,0.08333333333333336,24,3.2083333333333335,66615788.455
