date,capital,period_return,borrow_cost,benchmark_return,turnover,n_long,n_short,n_eligible,avg_sue_long,avg_sue_short
2021-06-28,1188975.0441154847,0.024321357881144562,0.0007936507936507934,0.0266380541019083,0.39999999999999997,70,70,354,1.2143262193216773,-1.4361122996720268
2021-07-27,1183098.0528995383,-0.0032341640088605758,0.0007936507936507937,0.02020401891358723,1.7142857142857144,50,50,253,1.3730025964437076,-1.4955703290834625
2021-08-24,1179784.3332579073,-0.0005242998139392339,0.0007936507936507939,-0.019628357977842854,2.2777777777777777,72,72,361,1.452090722439915,-1.6883488369347757
2021-09-22,1147644.397947595,-0.026795064116294388,0.0007936507936507937,0.032689383184283674,0.4594594594594593,74,74,372,1.5744734888378003,-1.6314044205551888
2021-10-20,1190401.7651428895,0.0380421793448463,0.0007936507936507937,0.034178820257499354,0.7567567567567568,65,65,328,1.6239174527100686,-1.631008113353964
2021-11-17,1231876.1909808808,0.03748414861166549,0.0007936507936507937,-0.0036167369529653878,2.5479452054794525,73,73,367,1.767574624168997,-1.6167234373133383
2021-12-16,1143076.349425098,-0.07171372309766637,0.0007936507936507937,-0.00020874695764831665,0.3999999999999998,75,75,375,1.7692706153065356,-1.6133664929520881
2022-01-14,1111819.3691030182,-0.027085168972971262,0.0007936507936507937,-0.05689027267519297,0.2666666666666664,73,73,367,1.729610575500667,-1.5796454165057847
2022-02-14,1126377.0049296552,0.016547000751257077,0.0007936507936507937,-0.029706620767070528,3.397260273972603,34,34,171,2.1387772085755397,-1.1587148927905064
2022-03-15,1095057.406469863,-0.02508547700928818,0.0007936507936507937,0.031144490061503965,2.7901234567901234,81,81,408,2.2226416251621406,-1.057377141800884
2022-04-12,1062442.256021808,-0.029552905237154915,0.0007936507936507934,-0.10970747093593942,0.23809523809523808,84,84,423,2.2124805863740282,-1.08273516503892
2022-05-11,1086034.490386127,0.024963302049802724,0.0007936507936507935,0.021884630084033983,2.6904761904761907,82,82,413,1.510939522505873,-0.7604337648950708
2022-06-09,1080650.9169810368,-0.004082628446234855,0.0007936507936507933,-0.039506182895374824,0.8780487804878048,78,78,392,1.32626501150272,-0.7031368630659954
2022-07-11,1096385.2545920531,0.014898355214215382,0.0007936507936507933,0.07218182036420906,0.3333333333333333,78,78,392,1.394550891623138,-0.6529282050186597
2022-08-08,1095861.3292044122,0.0018083118040768786,0.0007936507936507937,-0.055329725050213115,2.282051282051282,74,74,372,1.7032681563226846,-0.8648061909548532
2022-09-06,1110104.30696441,0.013715645352622874,0.0007936507936507934,-0.02917934471063573,0.708860759493671,79,79,398,1.748694760852768,-1.018271540180149
2022-10-04,1132572.1456126356,0.02046899970372371,0.0007936507936507935,0.017181031917562452,0.2249999999999999,80,80,401,1.7470991368837574,-1.0155123501330532
2022-11-01,1159350.66023677,0.026492497975142606,0.0007936507936507935,0.05848671212745023,2.775,46,46,232,1.9274550504183023,-1.2763889345791217
2022-11-30,1164132.0267520836,0.0064938961051361046,0.0007936507936507934,-0.05671785679888664,2.3544303797468356,79,79,399,2.1378882371918793,-1.1040305890603543
2022-12-29,1178504.7668149115,0.01269211175579264,0.0007936507936507935,0.04375537246873282,0.34146341463414626,82,82,413,2.110468403041728,-1.1111343679829564
2023-01-30,1184315.334074002,0.006870524750916638,0.0007936507936507935,-0.010867971280415537,1.9268292682926829,48,48,243,2.151853628916898,-1.0795381022057537
2023-02-28,1212454.6439349349,0.02714203406036367,0.0007936507936507935,0.0021424374232229993,3.292682926829268,82,82,414,1.6918825675600586,-1.7194144841510446
2023-03-28,1200275.188363672,-0.009544367486058811,0.0007936507936507935,0.021901912997329725,0.5057471264367817,87,87,438,1.7468890969444144,-1.7231049120006245
2023-04-26,1186284.9496077504,-0.01106477160983803,0.0007936507936507937,0.016506517844756458,0.5977011494252874,86,86,431,1.6037876063658258,-1.6608001432811892
2023-05-24,1180846.3327162652,-0.0017290596497470069,0.0007936507936507935,0.056118135611790194,2.8604651162790695,80,80,404,1.2251537965896762,-0.8745744876905359
2023-06-23,1189676.0909275673,0.008067571192766767,0.0007936507936507935,0.04731496520108037,0.5853658536585367,82,82,414,1.1665273679394506,-0.8497834854128299
2023-07-24,1204018.5413620211,0.01269795955039783,0.0007936507936507937,-0.033264059472706144,0.6341463414634148,74,74,372,1.2158976952607468,-0.8793207441149707
2023-08-21,1207563.3531599385,0.005451572947287569,0.0007936507936507937,0.011162486759942665,2.4938271604938276,81,81,408,1.48515032844356,-1.1895449228424908
2023-09-19,1219729.6419752035,0.01037079118101673,0.0007936507936507935,-0.015226656833484738,0.2926829268292681,82,82,413,1.546909226710312,-1.1991453661953337
2023-10-17,1228353.9266158016,0.007463809271025417,0.0007936507936507933,0.02873331670119119,0.3902439024390243,78,78,394,1.5382771670059332,-1.2394984021864817
2023-11-14,1203475.1726144715,-0.017748994190648463,0.0007936507936507935,0.047374425760583136,2.55,80,80,403,1.780263988590241,-1.6840042588969972
2023-12-13,1191880.9775190472,-0.009247294403722767,0.0007936507936507935,0.01709559136660519,0.39024390243902446,82,82,410,1.8696167066973362,-1.6701613931978567
2024-01-12,1188442.7600870493,-0.0025441039413573513,0.0007936507936507937,0.04972081335870536,0.3414634146341462,81,81,409,1.9147335919117254,-1.653848251447452
2024-02-12,1161474.3841300446,-0.019156314985977963,0.0007936507936507937,0.031051065098711812,3.6049382716049383,34,34,172,2.173863273601529,-1.1619454042184567
2024-03-12,1168740.438568469,0.009283739888157817,0.0007936507936507937,-0.0020582061190810887,3.0,86,86,433,2.2449994741962582,-0.9417641293834221
