date,capital,period_return
2019-09-23,953982.7237786426,-0.0016194584588415009
2019-09-24,955416.3409274182,0.001502770556574802
2019-09-25,954497.990113236,-0.0009612048432107936
2019-09-26,954252.2763852511,-0.0002574271821732503
2019-09-27,955474.5864629807,0.0012809087365865351
2019-09-30,954842.7038113016,-0.0006613285801960378
2019-10-01,954479.5743599493,-0.000380302902145945
2019-10-02,954278.5750651571,-0.00021058522381364107
2019-10-03,954810.8313326354,0.0005577577464126503
2019-10-04,954690.04891918,-0.00012649878854716613
2019-10-07,953108.5148765106,-0.0016565942469598603
2019-10-08,952936.0559758912,-0.00018094361547257544
2019-10-09,953732.7287938768,0.0008360191777714798
2019-10-10,957254.5043386905,0.003692623141147085
2019-10-11,957818.2382929778,0.0005889070792900323
2019-10-14,957295.3241527865,-0.000545942976741824
2019-10-15,956210.437692651,-0.0011332829407641155
2019-10-16,956205.8454842129,-4.802508168743821e-06
2019-10-17,957046.6826231004,0.0008793474154738387
2019-10-18,956879.9217495908,-0.00017424528660660608
2019-10-21,958021.0663618237,0.0011925682484239413
2019-10-22,956457.1152096756,-0.0016324809621226434
2019-10-23,956273.5853209409,-0.00019188512042636082
2019-10-24,957730.814063073,0.0015238617530599408
2019-10-25,959322.952623185,0.0016624071573488439
2019-10-28,960225.4786068121,0.000940794735661521
2019-10-29,961271.8567632313,0.001089721299561323
2019-10-30,960836.0112059657,-0.00045340509471824864
2019-10-31,956531.6473594797,-0.004479811118947843
2019-11-01,957064.1919761649,0.0005567454230662541
2019-11-04,957004.7730713695,-6.208455534498962e-05
2019-11-05,955799.1903534954,-0.0012597457732681267
2019-11-06,955900.8990736593,0.0001064122267422079
2019-11-07,955756.5756090721,-0.00015098161820660603
2019-11-08,956120.7272968157,0.0003810088227869271
2019-11-11,956175.5455125779,5.733398952367007e-05
2019-11-12,955881.966943724,-0.00030703417404022844
2019-11-13,955936.9192386185,5.748857787349312e-05
2019-11-14,955276.0156078691,-0.0006913674087153064
2019-11-15,954215.5549587879,-0.001110109153537554
2019-11-18,954077.7617168947,-0.00014440473242866093
2019-11-19,954732.4730846013,0.0006862243246592067
2019-11-20,955601.9014370206,0.0009106512839248883
2019-11-21,955989.1250480999,0.00040521435808891886
2019-11-22,956124.6340894225,0.00014174747156848571
2019-11-25,956159.4620185301,3.642613929797289e-05
2019-11-26,956174.8874194126,1.613266562252065e-05
2019-11-27,956112.6832844265,-6.505518582895169e-05
2019-11-29,955802.285307735,-0.00032464581018341583
2019-12-02,956160.6784993907,0.00037496582417184443
2019-12-03,956098.338035772,-6.519873178275739e-05
2019-12-04,956344.1476596654,0.0002570965915479038
2019-12-05,956372.6120915533,2.9763795760712285e-05
2019-12-06,956466.527457545,9.819955611887205e-05
2019-12-09,956645.9158586569,0.00018755324516039556
2019-12-10,956379.5241413503,-0.0002784642811834176
2019-12-11,957369.1079982765,0.0010347187826032888
2019-12-12,957048.4497282194,-0.000334936930153764
