date,capital,period_return,borrow_cost,turnover,ic,n_long,n_short,ret_value,ret_momentum,ret_quality,ret_low_vol,ret_size
2017-12-01,973685.2324842635,-0.02659402315001473,0.0024999999999999996,0.9306930693069307,-0.11920482542368092,101,101,0.012007528654200624,-0.01404134053101734,0.04002967998778176,-0.07014478771448716,0.0035888954096384637
2018-01-03,985386.9796539426,0.01283026781160617,0.0024999999999999996,0.5346534653465347,0.07427913671078587,101,101,0.008376586288871285,0.009337060993717627,-0.0046716319546813555,-0.01763553414751053,0.0034203006535253565
2018-02-02,983467.3691032303,-0.0012724680509749384,0.0024999999999999988,0.4509803921568628,0.038887413583236545,102,102,0.00032876572035590856,-0.001803409026361202,0.025942988478333717,-0.04304598561743314,0.05849313318442995
2018-03-06,1025115.9485396154,0.043453548281057186,0.0024999999999999988,0.7058823529411764,0.19738479352479998,102,102,-0.0018277542102351858,0.01223911632012376,0.009783216449719809,0.007913759945191225,0.03298040250160174
2018-04-05,1015441.7085365448,-0.008474852744127188,0.0024999999999999988,0.6470588235294118,-0.015470226707375107,102,102,-0.02108258089691689,-0.010005229654253333,-0.012734171085271523,-0.03873247947732664,0.03895514273751017
2018-05-04,995952.9756145021,-0.018391835125241687,0.002499999999999999,0.5436893203883496,0.047995342810463644,103,103,-0.008625825623722588,0.013911437049702265,-0.011594594481233672,-0.05767929765769701,0.06344967237453168
2018-06-05,996491.7391414186,0.00150356299673688,0.002499999999999999,0.6407766990291262,0.048854235417735,103,103,-0.0005311931933881242,-0.03846351828233304,0.008508520082248179,0.019654713167459252,0.024117112756011656
2018-07-05,997549.1443718186,0.0017835680171213678,0.0024999999999999996,0.4807692307692305,0.05189972508569187,104,104,-0.0010813623885766515,0.014380617155479036,0.001277565088303425,0.009893476091185113,-0.013752055445755987
2018-08-03,996649.0000279075,2.0740179940775816e-05,0.0024999999999999996,0.6153846153846154,-0.015618817505966914,104,104,-0.035415190717514027,0.01970889672940098,0.012476853783497882,-0.01939029432345416,-0.0001294882042720026
2018-09-04,983398.2121081126,-0.012383694785595933,0.0024999999999999996,0.6153846153846154,-0.031865880304154895,104,104,-0.02139285576719424,-0.011279359481168361,-0.027975534760237064,0.0007001216493489077,0.010960144908840737
2018-10-03,983897.0870926182,0.0011938299340189138,0.0024999999999999996,0.45714285714285713,0.08761219944456035,105,105,0.03408259885024393,-0.0037806244265680034,0.0027069754301270454,0.01254523615668249,0.040022671355981185
2018-11-01,1005268.9129952134,0.02248116448559043,0.0024999999999999996,0.49523809523809526,0.032499519549576916,105,105,0.0011319155781620788,0.015512000637479702,-0.005732596996068258,0.006771667274524631,0.025214065073070422
2018-12-03,1023825.9286758322,0.0193917681798518,0.0024999999999999996,0.6095238095238096,0.13097011416731785,105,105,0.014543079900762867,-0.01150266552193905,-0.0031873270360945694,0.003997130053492993,0.04528977050258874
2019-01-04,996108.5349197475,-0.026349085877150843,0.0024999999999999996,0.4952380952380953,-0.09213247429533053,105,105,0.01228396446675616,-0.027387623167207407,-0.022822203992509702,-0.03863015921229264,-0.009959942790249969
2019-02-05,974591.5030432446,-0.02087374083544505,0.0024999999999999996,0.49523809523809537,-0.039629450693401895,105,105,-0.061896592959297385,-0.007195302849272887,-0.0056860407892029355,-0.01758687667783846,0.018759639889024474
2019-03-07,955759.6376043457,-0.01825693702490185,0.0024999999999999996,0.7238095238095239,-0.016472713005865627,105,105,-0.029783469890291556,-0.01932854271090526,-0.018709194504590156,-0.03791894220289087,0.04106213485493038
2019-04-05,967133.298759211,0.012559245844246138,0.0024999999999999996,0.4339622641509437,0.021550175121696533,106,106,-0.005307684411739833,0.017308190222391398,-0.008294558998064597,0.01725151218280132,0.015369163202033072
2019-05-07,979159.1051380463,0.013294831614736675,0.0024999999999999996,0.5660377358490567,0.0849013333728636,106,106,-0.03841885843203267,0.06944162765930914,-0.01614714007793534,0.029567503245886147,-0.012399839165867708
2019-06-06,970064.2077690357,-0.008530845463335532,0.0024999999999999996,0.5094339622641509,-0.018127370303916368,106,106,-0.013881266151628902,0.008574110802016616,-0.019093463313773,-0.024762221813651352,0.024923862541729076
2019-07-08,999637.4725080723,0.03126656224877108,0.0025,0.5046728971962617,0.11116370264606819,107,107,0.0323533415220126,0.0023633135866331246,-0.005523535261122436,0.029918737230768835,0.027241728157145133
2019-08-06,998898.661408618,4.60038081875982e-05,0.0025,0.5233644859813082,0.004466249034152978,107,107,-0.03321865450102596,0.008345051063290173,0.0198652505515927,-0.023943925116313908,0.02187996463944456
2019-09-05,1027523.363201491,0.029666682616541862,0.0025,0.6542056074766354,0.13967604348232662,107,107,0.04236158951763852,-0.017725722470031097,0.005645497330673731,0.015935569708090108,0.025105411340770725
2019-10-04,1035459.7715916855,0.00843066673498064,0.0025,0.46728971962616817,-0.01347928035902563,107,107,0.07055934058673327,-0.062341917686643,0.02112824491538746,-0.013028197987143893,0.031102235306225735
